Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Switzerland,185 Gbps,Infomaniak Network SA,"http://mirror.infomaniak.ch/ubuntu/, ftp://mirror.infomaniak.ch/ubuntu/",mirror.infomaniak.ch,20 Gbps,Up to date
Switzerland,185 Gbps,Init7 (Schweiz) AG,"https://mirror.init7.net/ubuntu/, http://mirror.init7.net/ubuntu/, rsync://mirror.init7.net/ubuntu/",mirror.init7.net,20 Gbps,Up to date
Switzerland,185 Gbps,Communication Systems Group (CSG@UZH),"http://archive.ubuntu.csg.uzh.ch/ubuntu/, ftp://archive.ubuntu.csg.uzh.ch/ubuntu/archive/",archive.ubuntu.csg.uzh.ch,10 Gbps,Up to date
Switzerland,185 Gbps,"BSE Software GmbH, SolNet","https://mirror.solnet.ch/ubuntu/, http://mirror.solnet.ch/ubuntu/, rsync://mirror.solnet.ch/ubuntu/",mirror.solnet.ch,10 Gbps,Up to date
Switzerland,185 Gbps,Adfinis & Exoscale,"https://pkg.adfinis-on-exoscale.ch/ubuntu/, http://pkg.adfinis-on-exoscale.ch/ubuntu/",pkg.adfinis-on-exoscale.ch,10 Gbps,Up to date
Switzerland,185 Gbps,"ETH Zürich, ISG D-PHYS","https://ubuntu.ethz.ch/ubuntu/, http://ubuntu.ethz.ch/ubuntu/, ftp://ubuntu.ethz.ch/ubuntu/, rsync://ubuntu.ethz.ch/ubuntu/",ubuntu.ethz.ch,10 Gbps,Up to date
Switzerland,185 Gbps,GoFoss,"https://mirror.gofoss.xyz/ubuntu/, http://mirror.gofoss.xyz/ubuntu/, rsync://mirror.gofoss.xyz/ubuntu/",mirror.gofoss.xyz,2 Gbps,Last update unknown
Switzerland,185 Gbps,GoFoss (Ports),"https://mirror.gofoss.xyz/ubuntu-ports/, http://mirror.gofoss.xyz/ubuntu-ports/, rsync://mirror.gofoss.xyz/ubuntu-ports/",mirror.gofoss.xyz,2 Gbps,Up to date
Switzerland,185 Gbps,Adfinis AG,http://pkg.adfinis.com/ubuntu/,pkg.adfinis.com,1 Gbps,Up to date
Taiwan,252 Gbps,Taiwan Digital Streaming Co. (archive),"https://mirror.twds.com.tw/ubuntu/, http://mirror.twds.com.tw/ubuntu/, rsync://mirror.twds.com.tw/ubuntu/",mirror.twds.com.tw,100 Gbps,Up to date
Taiwan,252 Gbps,Taiwan Digital Streaming Co. (ports),"https://mirror.twds.com.tw/ubuntu-ports/, http://mirror.twds.com.tw/ubuntu-ports/, rsync://mirror.twds.com.tw/ubuntu-ports/",mirror.twds.com.tw,100 Gbps,Up to date
Taiwan,252 Gbps,"NCHC, Taiwan","http://free.nchc.org.tw/ubuntu/, ftp://free.nchc.org.tw/ubuntu",free.nchc.org.tw,20 Gbps,Up to date
Taiwan,252 Gbps,Free Software Lab,"http://ftp.tw.debian.org/ubuntu/, ftp://ftp.tw.debian.org/ubuntu/, rsync://ftp.tw.debian.org/ubuntu/",ftp.tw.debian.org,10 Gbps,Up to date
Taiwan,252 Gbps,NCKU CCNS,"https://ubuntu.ccns.ncku.edu.tw/ubuntu/, http://ubuntu.ccns.ncku.edu.tw/ubuntu/, rsync://ubuntu.ccns.ncku.edu.tw/ubuntu/",ubuntu.ccns.ncku.edu.tw,10 Gbps,Up to date
Taiwan,252 Gbps,Ubuntu-TW,"https://ftp.ubuntu-tw.net/ubuntu/, http://ftp.ubuntu-tw.net/ubuntu/, ftp://ftp.ubuntu-tw.net/ubuntu/, rsync://ftp.ubuntu-tw.org/ubuntu/","ftp.ubuntu-tw.net, ftp.ubuntu-tw.org",4 Gbps,Last update unknown
Taiwan,252 Gbps,OSSPlanet,"https://mirror.ossplanet.net/ubuntu/, http://mirror.ossplanet.net/ubuntu/, ftp://mirror.ossplanet.net/ubuntu/, rsync://mirror.ossplanet.net/ubuntu/",mirror.ossplanet.net,4 Gbps,Up to date
Taiwan,252 Gbps,TaiChung City Education Network Center,https://ftp.tc.edu.tw/Linux/ubuntu/,ftp.tc.edu.tw,1 Gbps,Up to date
Taiwan,252 Gbps,TKU-TamKangUniversity,"http://ftp.tku.edu.tw/ubuntu/, ftp://ftp.tku.edu.tw/ubuntu/",ftp.tku.edu.tw,1 Gbps,Up to date
Taiwan,252 Gbps,Blendbyte Inc.,"https://tw1.mirror.blendbyte.net/ubuntu/, http://tw1.mirror.blendbyte.net/ubuntu/",tw1.mirror.blendbyte.net,1 Gbps,Up to date
Taiwan,252 Gbps,NCTUCSCC,"http://ubuntu.cs.nctu.edu.tw/ubuntu/, ftp://ubuntu.cs.nctu.edu.tw/ubuntu/, rsync://ubuntu.cs.nctu.edu.tw/ubuntu/",ubuntu.cs.nctu.edu.tw,1 Gbps,Up to date
Taiwan,252 Gbps,Taiwan Mirror,"http://ftp.mirror.tw/pub/ubuntu/ubuntu/, ftp://ftp.mirror.tw/pub/ubuntu/ubuntu/",ftp.mirror.tw,100 Mbps,Up to date
"Tanzania, United Republic of",1 Gbps,Aptus Solutions,http://mirror.aptus.co.tz/pub/ubuntuarchive/,mirror.aptus.co.tz,1 Gbps,Up to date
Thailand,171 Gbps,Khon Kaen University,"https://mirror.kku.ac.th/ubuntu/, http://mirror.kku.ac.th/ubuntu/, ftp://mirror.kku.ac.th/ubuntu/, rsync://mirror.kku.ac.th/ubuntu/",mirror.kku.ac.th,100 Gbps,Up to date
Thailand,171 Gbps,"CLOUDFOREST CO., LTD.","https://mirrors.cloudforest.co.th/ubuntu/, http://mirrors.cloudforest.co.th/ubuntu/",mirrors.cloudforest.co.th,50 Gbps,Up to date
